Ref	Priority	Severity
101406	Low	L1
101407	Medium	L1
101408	Low	L5
101409	Low	L1
101410	Low	L1
101411	Low	L1
101412	Low	L1
101413	High	L1
101414	High	L1
101415	Low	L2
101416	Low	L2
101417	Low	L1
101418	Low	L5
101419	Low	L2
101420	Medium	L5
101421	Low	L1
101422	Medium	L2
101423	Medium	L1
101424	Low	L1
101425	Medium	L1
101426	Low	L1
101427	High	L1
101428	Low	L1
101429	High	L5
101430	Low	L2
101431	High	L3
101432	Medium	L1
101433	Medium	L2
101434	Low	L2
101435	Low	L2
101436	Low	L1
101437	Low	L2
101438	Low	L2
101439	Low	L2
101440	Medium	L5
101441	Low	L2
101442	Medium	L2
101443	Medium	L5
101444	High	L1
101445	Low	L2
101446	High	L2
101447	Medium	L5
101448	Low	L2
101449	Medium	L5
101450	Low	L1
101451	High	L2
101452	High	L2
101453	High	L2
101454	Medium	L1
101455	Medium	L1
101456	Low	L3
101457	Medium	L5
101458	Low	L1
101459	Low	L2
101460	Low	L2
101461	Medium	L1
101462	Low	L3
101463	High	L2
101464	High	L1
101466	High	L3
101467	Low	L2
101468	Low	L1
101469	Low	L1
101470	Medium	L2
101471	Low	L5
101472	Low	L2
101473	Low	L5
101474	Medium	L5
101475	Low	L2
101476	Low	L2
101477	Low	L1
101478	Medium	L1
101479	High	L1
101480	Medium	L2
101481	Medium	L2
101482	Low	L5
101483	Medium	L5
101484	Low	L2
101485	Low	L1
101486	Low	L5
101487	Low	L1
101488	Medium	L1
101489	Low	L2
101490	Low	L2
101491	Medium	L2
101492	Low	L1
101493	Low	L2
101494	Low	L2
101495	Low	L2
101497	Low	L5
101498	Low	L1
101499	High	L1
101500	Low	L2
101501	Low	L2
101502	Low	L5
101503	Medium	L2
101504	Low	L5
101505	Low	L2
101506	Low	L1
101507	Medium	L2
101508	Medium	L2
101509	High	L2
101510	Low	L2
101511	High	L2
101512	High	L2
101513	Low	L5
101514	High	L1
101515	High	L5
101516	High	L1
101517	High	L1
101518	Medium	L5
101519	Low	L5
101520	High	L5
101521	High	L5
101522	Medium	L2
101523	Low	L2
101524	Low	L5
101525	Low	L5
101526	High	L2
101527	Medium	L1
101528	Low	L2
101529	Medium	L1
101530	Low	L2
101531	Low	L1
101532	Low	L1
101533	Low	L1
101534	Low	L2
101535	High	L1
101536	Low	L2
101537	Low	L3
101538	Medium	L2
101539	Medium	L1
101540	Low	L1
101541	Low	L1
101542	Low	L1
101543	Low	L1
101544	Low	L1
101545	Low	L1
101546	Low	L1
101547	Low	L1
101548	Low	L1
101549	Low	L1
101550	Low	L1
101551	Low	L1
101552	Low	L5
101553	Low	L1
101554	Medium	L1
101555	Medium	L1
101556	Low	L1
101557	Medium	L1
101558	High	L5
101559	Low	L1
101560	Low	L5
101561	Low	L2
101562	High	L1
101563	Low	L1
101564	Medium	L1
101565	Low	L1
101566	High	L1
101567	High	L1
101568	Medium	L1
101569	Low	L1
101570	Low	L1
101571	Low	L1
101572	Medium	L1
101573	High	L1
101574	Low	L1
101575	Low	L1
101576	Low	L1
101577	Low	L2
101578	High	L2
101579	Medium	L5
101580	Low	L3
101581	Low	L1
101582	High	L5
101583	Low	L1
101584	Low	L1
101585	Low	L1
101586	High	L1
101587	Low	L1
101588	Medium	L2
101589	High	L5
101590	Low	L2
101591	Low	L2
101592	Medium	L1
101593	Medium	L1
101594	Medium	L1
101595	Medium	L2
101596	Medium	L1
101597	High	L1
101598	Low	L1
101599	Low	L1
101600	High	L1
101601	Medium	L1
101602	Low	L2
101603	Low	L2
101604	Low	L1
101605	Medium	L1
101606	Low	L1
101607	Low	L2
101608	High	L1
101609	Low	L1
101610	Low	L1
101611	Medium	L1
101612	Low	L1
101613	Medium	L5
101614	Low	L5
101615	High	L2
101616	Low	L5
101617	Medium	L2
101618	Low	L2
101619	Low	L1
101620	High	L1
101621	Low	L1
101622	Medium	L1
101623	Low	L1
101624	High	L1
101631	High	L2
101632	High	L2
101633	Low	L4
101634	Low	L1
101635	Low	L1
101636	Low	L2
101637	Low	L5
101638	High	L2
101639	Low	L1
101642	Low	L5
101643	Medium	L1
101644	Medium	L5
101645	Medium	L1
101646	Medium	L1
101649	Low	L1
101650	Low	L1
101651	Low	L2
101652	Low	L2
101653	Low	L1
101654	Low	L1
101655	High	L1
101656	Low	L2
101657	Low	L1
101658	Medium	L1
101659	Low	L1
101660	Medium	L1
101661	Medium	L1
101664	Medium	L2
101665	High	L1
101666	Medium	L5
101667	Medium	L5
101668	Medium	L2
101669	Medium	L2
101670	Medium	L1
101671	High	L1
101672	Medium	L1
101673	Low	L2
101674	Low	L1
101675	Medium	L1
101676	Low	L3
101677	Low	L5
101678	Low	L5
101679	Low	L1
101680	Low	L1
101681	Low	L2
101682	Low	L2
101683	Low	L1
101684	Low	L2
101685	Low	L5
101686	Medium	L2
101687	High	L1
101688	Medium	L1
101689	High	L1
101690	Low	L1
101691	Low	L1
101692	Low	L1
101693	Low	L1
101694	Medium	L2
101695	Low	L5
101696	Low	L5
101697	High	L1
101698	High	L1
101699	Medium	L1
101700	Medium	L1
101701	Low	L1
101702	Low	L1
101703	Low	L1
101704	High	L1
101705	High	L1
101706	Low	L2
101707	High	L1
101708	Low	L1
101709	High	L1
101710	Low	L1
101711	Medium	L2
101712	Medium	L1
101713	High	L2
101714	Medium	L2
101715	Low	L1
101716	Medium	L1
101717	Low	L2
101718	Low	L1
101719	Low	L1
101720	Low	L1
101721	Medium	L1
101722	Low	L1
101723	Low	L1
101724	High	L1
101725	Medium	L1
101726	Low	L1
101727	High	L1
101728	Low	L1
101729	Low	L1
101730	Low	L2
101731	Low	L1
101732	Medium	L2
101733	Low	L1
101734	High	L1
101735	Medium	L1
101736	High	L1
101737	Low	L1
101738	Medium	L1
101739	Medium	L1
101740	Low	L1
101741	High	L1
101742	Medium	L1
101743	High	L1
101744	Medium	L1
101745	Medium	L1
101746	Low	L1
101747	Medium	L1
101748	High	L1
101749	Medium	L1
101750	High	L1
101751	Medium	L1
101752	Medium	L5
101753	Low	L5
101754	Medium	L2
101755	Medium	L1
101756	Low	L1
101757	Low	L1
101758	Low	L1
101759	Low	L1
101760	Low	L1
101761	Medium	L1
101762	Low	L1
101763	Low	L1
101764	Low	L1
101765	High	L1
101766	High	L1
101767	Low	L1
101768	Low	L2
101769	Low	L1
101770	Low	L1
101771	Medium	L1
101772	High	L1
101773	Medium	L1
101774	Low	L1
101775	High	L1
101776	Medium	L1
101777	Low	L1
101778	Medium	L1
101779	Medium	L1
101780	Low	L1
101781	Medium	L1
101782	Low	L1
101783	High	L1
101784	Medium	L1
101785	Medium	L1
101786	Medium	L1
101787	Medium	L1
101788	Low	L1
101789	Low	L1
101790	Low	L1
101791	Low	L1
101792	Medium	L1
101793	Low	L1
101794	Low	L1
101795	Medium	L1
101796	High	L1
101797	Low	L1
101798	Low	L1
101799	Medium	L1
101800	Medium	L1
101801	Medium	L1
101804	Low	L1
101805	Low	L1
101806	Low	L1
101807	Low	L2
101808	Low	L2
101809	Low	L2
101810	Medium	L1
101813	Low	L1
101816	Low	L1
101817	Medium	L3
101818	High	L1
101819	Low	L1
101820	Medium	L1
101821	Medium	L1
101822	Low	L1
101823	Medium	L1
101824	Medium	L1
101825	High	L1
101826	Low	L1
101827	Low	L1
101828	Low	L1
101829	Low	L2
101830	High	L2
101831	Medium	L1
101832	Low	L1
101833	Low	L2
101834	Low	L1
101835	Medium	L5
101836	Medium	L5
101837	Low	L5
101838	Low	L1
101839	Low	L2
101840	Medium	L2
101841	High	L5
101842	Low	L1
101843	High	L1
101844	Medium	L1
101845	Low	L2
101846	Medium	L1
101847	Medium	L1
101848	Low	L1
101852	High	L1
101853	High	L2
101854	Low	L1
101855	Low	L1
101856	High	L1
101857	Low	L2
101858	Low	L1
101859	Low	L2
101860	Low	L1
101861	Low	L1
101862	High	L2
101863	Low	L3
101864	Medium	L2
101865	Medium	L5
101866	Medium	L2
101867	Low	L2
101868	Low	L1
101869	Low	L1
101870	Medium	L1
101871	Low	L1
101872	Low	L1
101873	Low	L5
101874	Medium	L1
101875	Medium	L3
101876	Medium	L1
101877	High	L1
101878	High	L1
101879	Medium	L2
101880	Low	L1
101881	Low	L2
101882	Low	L1
101883	Medium	L2
101884	Low	L2
101885	Low	L2
101886	Low	L2
101887	High	L1
101888	Low	L5
101889	Low	L2
101890	Low	L1
101891	Low	L2
101892	High	L1
101893	Low	L1
101894	Medium	L5
101895	Low	L2
101896	Medium	L1
101897	Low	L1
101898	Low	L1
101899	High	L1
101900	Low	L2
101901	Medium	L2
101902	Low	L1
101903	High	L1
101904	Medium	L3
101905	Low	L2
101906	Low	L5
101907	Medium	L1
101908	Medium	L1
101909	Medium	L1
101910	Low	L1
101911	Low	L2
101912	Medium	L2
101914	Low	L2
101917	Low	L1
101918	Medium	L2
101919	Medium	L5
101920	Low	L1
101921	High	L2
101922	Low	L2
101923	Medium	L2
101924	Medium	L3
101925	Low	L1
101926	Medium	L2
101927	Medium	L1
101928	Medium	L1
101929	Medium	L5
101930	High	L1
101931	Medium	L2
101932	Low	L1
101933	Medium	L2
101934	Medium	L1
101935	High	L1
101936	Medium	L2
101937	Low	L1
101938	High	L1
101939	Low	L2
101940	Low	L2
101941	Low	L2
101942	Low	L1
101943	Low	L5
101944	Medium	L1
101945	High	L2
101946	Medium	L5
101947	Low	L2
101948	Medium	L2
101949	Medium	L2
101950	Low	L2
101951	Medium	L1
101952	High	L1
101953	Low	L1
101954	Low	L1
101955	Low	L1
101956	Low	L2
101957	High	L2
101958	High	L2
101959	Medium	L1
101960	Low	L2
101961	High	L2
101962	Low	L5
101963	Medium	L1
101964	Medium	L2
101965	High	L1
101966	Low	L1
101967	Low	L2
101968	Low	L2
101969	Medium	L2
101970	Medium	L2
101971	Low	L5
101972	Low	L1
101973	High	L2
101974	Low	L2
101975	High	L1
101976	Medium	L2
101977	Low	L3
101978	High	L2
101979	Medium	L2
101980	High	L1
101981	Medium	L2
101982	Medium	L2
101983	Medium	L1
101984	Medium	L1
101985	High	L2
101986	Medium	L2
101987	Low	L2
101988	Low	L2
101989	Low	L3
101990	Medium	L1
101991	Low	L5
101992	Low	L1
101993	High	L1
101994	Low	L1
101995	Medium	L3
101996	Medium	L5
101997	Medium	L5
101998	Low	L5
101999	Medium	L2
102000	Low	L2
102001	Low	L5
102002	Low	L2
102003	High	L2
102004	Medium	L1
102005	Low	L5
102006	Medium	L1
102007	High	L1
102008	Medium	L2
102009	Low	L1
102010	Medium	L1
102014	Medium	L2
102015	Low	L2
102016	Low	L2
102017	Medium	L1
102018	Low	L1
102019	Medium	L1
102020	High	L2
102021	Low	L2
102022	Low	L2
102023	Low	L2
102024	High	L2
102025	High	L2
102026	Low	L2
102027	Low	L5
102028	Low	L1
102029	Low	L2
102030	Low	L5
102031	Medium	L1
102032	Low	L2
102033	Low	L1
102034	High	L1
102035	High	L2
102036	High	L2
102037	Medium	L2
102038	Medium	L2
102039	Low	L3
102040	Medium	L2
102041	Low	L2
102042	Low	L1
102043	Low	L1
102044	Low	L1
102045	Low	L1
102046	Low	L2
102047	Medium	L1
102048	Medium	L2
102049	Low	L5
102050	Medium	L1
102051	Medium	L1
102052	Low	L2
102053	Medium	L2
102054	High	L1
102055	Low	L5
102056	Low	L5
102057	Low	L1
102058	Low	L3
102059	Medium	L5
102060	Medium	L2
102061	High	L2
102062	Low	L2
102063	Low	L1
102064	High	L5
102065	Low	L5
102066	Low	L5
102067	Medium	L5
102068	Low	L1
102069	Medium	L2
102070	Medium	L1
102071	High	L1
102072	Medium	L1
102073	Low	L1
102074	High	L1
102075	Low	L1
102076	High	L1
102077	Low	L2
102078	Low	L1
102079	Low	L1
102080	Low	L1
102083	Low	L1
102084	Low	L1
102085	Low	L1
102086	Low	L5
102087	Low	L1
102088	High	L5
102089	Low	L5
102090	High	L2
102091	Low	L1
102092	Low	L5
102093	Medium	L2
102094	Low	L3
102095	Low	L2
102096	Medium	L1
102097	Medium	L5
102098	Medium	L1
102099	High	L1
102100	Low	L5
102101	Low	L1
102102	Low	L1
102103	High	L1
102104	High	L1
102105	Low	L1
102106	Medium	L1
102107	Low	L1
102108	Low	L2
102109	High	L1
102110	Medium	L1
102111	Low	L1
102112	Medium	L1
102113	Low	L2
102114	Low	L1
102115	Low	L1
102116	Low	L1
102117	Medium	L1
102118	Low	L2
102119	Low	L1
102120	Low	L5
102121	Medium	L1
102122	Medium	L1
102123	Low	L2
102124	High	L1
102125	Medium	L1
102126	Medium	L1
102127	Low	L1
102130	Low	L1
102131	High	L1
102132	Low	L1
102133	Medium	L1
102134	High	L1
102135	High	L2
102136	High	L2
102137	Low	L5
102138	Medium	L1
102139	High	L2
102140	Low	L5
102141	Medium	L2
102142	Medium	L1
102143	High	L1
102144	Medium	L5
102145	Low	L2
102146	High	L2
102147	Low	L2
102148	Medium	L2
102149	Low	L2
102150	Medium	L2
102151	Low	L2
102152	Low	L1
102153	Low	L5
102154	Medium	L5
102155	Low	L1
102156	High	L5
102157	Low	L1
102158	Medium	L1
102159	High	L1
102160	Low	L1
102161	Low	L2
102162	High	L1
102163	Low	L5
102164	Medium	L2
102165	Low	L1
102168	Medium	L2
102169	High	L2
102170	Low	L2
102171	High	L5
102172	Low	L1
102173	High	L1
102174	Low	L1
102175	Medium	L1
102176	Medium	L3
102177	Low	L1
102178	Medium	L2
102179	High	L5
102180	Medium	L2
102181	High	L1
102182	Low	L2
102183	High	L2
102184	Low	L2
102185	High	L2
102186	High	L2
102187	Low	L1
102188	Low	L2
102191	High	L3
102192	Low	L5
102193	High	L2
102194	Low	L2
102195	Medium	L1
102196	Medium	L2
102197	Low	L1
102198	Low	L1
102199	Low	L1
102200	Low	L2
102201	Low	L2
102202	Medium	L1
102203	Medium	L1
102204	Low	L5
102205	Low	L1
102206	Low	L1
102207	High	L1
102208	Low	L1
102209	Medium	L2
102210	High	L1
102211	High	L1
102212	Low	L1
102213	Low	L1
102214	Low	L1
102215	Low	L1
102216	Low	L1
102217	Medium	L1
102218	Low	L1
102219	High	L1
102220	Low	L1
102221	Medium	L1
102222	Low	L1
102223	High	L1
102224	Low	L1
102225	Low	L1
102226	Low	L1
102227	Low	L1
102228	Low	L1
102229	Low	L1
102230	Low	L2
102231	Medium	L2
102232	High	L5
102233	Low	L2
102234	Low	L2
102235	Medium	L1
102236	High	L1
102237	Low	L1
102238	Medium	L3
102239	Medium	L2
102240	Low	L2
102241	Low	L1
102242	Low	L3
102243	Low	L2
102244	Medium	L2
102245	Low	L3
102246	Medium	L2
102247	High	L5
102248	Low	L2
102249	Medium	L2
102250	Medium	L2
102251	Low	L2
102252	Medium	L2
102253	Low	L5
102254	Low	L2
102255	Low	L2
102256	High	L2
102257	Low	L2
102258	Low	L5
102259	Medium	L1
102260	Low	L2
102261	High	L1
102262	Low	L1
102263	High	L2
102264	Low	L2
102265	Low	L1
102266	Low	L3
102267	Low	L1
102268	High	L1
102269	Low	L1
102270	Low	L2
102271	High	L1
102272	Medium	L1
102273	Low	L1
102274	Low	L2
102275	Low	L1
102276	Low	L5
102277	High	L2
102278	Medium	L2
102279	Low	L1
102280	Low	L5
102281	Medium	L1
102282	Low	L2
102283	Medium	L5
102284	Medium	L1
102285	High	L1
102286	High	L1
102287	Low	L2
102288	Medium	L1
102289	High	L1
102290	Low	L1
102291	Medium	L1
102292	Medium	L2
102293	Medium	L1
102294	Low	L1
102295	Low	L5
102296	Medium	L3
102297	Low	L2
102298	Low	L2
102299	High	L2
102300	High	L1
102301	Low	L5
102302	Low	L2
102303	Low	L1
102304	Low	L2
102305	High	L1
102306	Medium	L2
102307	Low	L1
102308	Low	L2
102309	Low	L5
102310	High	L1
102311	High	L2
102312	Medium	L2
102313	Low	L5
102314	Low	L2
102315	Low	L1
102316	High	L2
102317	Low	L5
102318	Low	L5
102319	Medium	L1
102320	Medium	L2
102321	Low	L1
102322	Low	L1
102323	Medium	L1
102324	Medium	L5
102325	High	L2
102326	Low	L1
102327	High	L1
102328	Low	L1
102329	Low	L1
102330	Low	L1
102331	Medium	L5
102332	Medium	L5
102333	High	L5
102334	Medium	L2
102335	Medium	L1
102336	Medium	L1
102337	Low	L2
102338	High	L1
102339	Low	L2
102340	Low	L2
102341	Low	L5
102342	High	L5
102343	High	L5
102344	Low	L1
102345	Medium	L1
102346	Low	L2
102347	Low	L1
102348	Medium	L5
102349	Low	L5
102350	Low	L1
102351	High	L2
102352	Medium	L5
102353	Medium	L1
102354	Low	L1
102355	Low	L1
102356	Medium	L1
102357	High	L1
102358	High	L1
102359	Low	L1
102360	Low	L3
102361	Medium	L1
102362	Low	L5
102363	Medium	L2
102364	Low	L2
102365	Low	L2
102366	Low	L2
102367	Medium	L1
102368	Low	L1
102369	Low	L1
102370	Medium	L1
102371	Low	L5
102372	Low	L2
102373	Low	L5
102374	Low	L2
102375	Low	L1
102376	Low	L1
102377	Medium	L5
102378	Low	L2
102379	High	L2
102380	Medium	L1
102381	Low	L1
102382	High	L2
102383	Medium	L1
102384	Low	L2
102385	High	L3
102386	Medium	L1
102387	Low	L2
102388	High	L1
102389	Low	L5
102390	Low	L1
102391	Medium	L1
102392	Low	L1
102393	Low	L3
102394	High	L2
102395	High	L2
102396	High	L2
102397	Medium	L1
102398	High	L2
102399	Low	L5
102400	Low	L2
102401	High	L2
102402	Medium	L5
102403	Medium	L5
102404	Low	L1
102405	High	L2
102406	Medium	L2
102407	Low	L2
102408	High	L1
102409	Low	L5
102410	Medium	L1
102411	Medium	L3
102412	Medium	L2
102413	High	L1
102414	Low	L5
102415	High	L1
102416	High	L2
102417	Medium	L2
102418	High	L2
102419	High	L1
102420	Low	L1
102421	High	L3
102422	Medium	L2
102423	High	L5
102424	High	L3
102425	Low	L2
102426	Low	L2
102427	High	L2
102428	Low	L2
102429	Low	L1
102430	Medium	L3
102431	Low	L2
102432	Medium	L1
102433	Medium	L2
102434	Low	L1
102435	Medium	L1
102436	Medium	L1
102437	High	L3
102438	Low	L2
102439	Low	L2
102440	High	L1
102441	Low	L2
102442	Medium	L1
102443	Low	L1
102444	Low	L2
102445	High	L2
102446	Medium	L1
102447	Medium	L5
102448	Low	L1
102449	Low	L1
102450	High	L1
102451	Medium	L1
102452	Low	L5
102453	Low	L1
102454	High	L2
102455	High	L2
102456	Medium	L5
102457	Medium	L2
102458	High	L5
102459	Low	L1
102460	High	L2
102461	High	L5
102462	Low	L5
102463	Medium	L1
102466	High	L5
102467	High	L5
102468	Medium	L1
102469	Low	L1
102470	Low	L2
102471	Low	L5
102472	Low	L1
102473	Low	L1
102474	Medium	L1
102475	Low	L1
102476	High	L5
102477	Low	L1
102478	High	L2
102479	Low	L3
102480	Low	L5
102481	Medium	L1
102482	High	L2
102483	Low	L2
102484	Low	L1
102485	Medium	L2
102486	High	L2
102487	Low	L1
102488	Low	L1
102489	Low	L1
102490	Low	L1
102491	High	L2
102492	Low	L2
102493	Low	L1
102494	Medium	L1
102495	Low	L1
102496	Low	L1
102497	Medium	L1
102498	Low	L1
102499	Low	L1
102500	Low	L1
102501	High	L1
102502	Medium	L3
102506	Low	L1
102507	Low	L5
102508	High	L5
102509	Medium	L2
102510	Low	L5
102511	Low	L5
102512	Medium	L1
102513	Medium	L1
102514	High	L1
102515	High	L1
102516	Low	L1
102517	Low	L2
102518	Medium	L2
102519	Medium	L1
102520	Low	L1
102521	High	L2
102522	Low	L1
102523	Low	L2
102524	Medium	L2
102525	Low	L2
102526	Low	L2
102527	Medium	L2
102528	Medium	L2
102529	Medium	L2
102530	Low	L2
102531	Low	L5
102532	High	L1
102533	Low	L1
102534	Low	L1
102535	Low	L1
102536	Medium	L2
102537	Medium	L3
102538	Low	L1
102539	Low	L2
102540	High	L2
102541	Low	L2
102542	High	L5
102543	Medium	L2
102544	Low	L2
102545	High	L3
102546	Medium	L2
102547	Medium	L1
102548	Low	L1
102549	High	L2
102550	Low	L1
102551	High	L1
102552	Low	L1
102553	High	L1
102554	Low	L1
102555	Low	L1
102556	Medium	L1
102557	Low	L1
102558	Low	L5
102559	Low	L1
102562	High	L1
102563	Low	L1
102564	Medium	L5
102565	Medium	L1
102566	Medium	L5
102567	Low	L1
102568	Medium	L1
102569	Low	L1
102570	High	L1
102571	Low	L2
102572	Medium	L1
102573	Low	L1
102574	High	L5
102575	High	L2
102576	Low	L2
102577	Medium	L1
102578	High	L1
102579	Low	L2
102580	Medium	L2
102581	Low	L1
102582	Medium	L2
102583	Medium	L2
102584	Low	L2
102585	High	L2
102586	Low	L2
102587	Low	L3
102588	Low	L2
102589	Low	L2
102590	Low	L2
102591	Low	L2
102592	Medium	L2
102593	Medium	L2
102594	High	L2
102595	Medium	L2
102596	Low	L2
102597	Low	L1
102598	Low	L2
102599	Medium	L5
102600	Low	L1
102601	High	L5
102602	Low	L5
102603	High	L1
102604	Medium	L2
102605	Low	L2
102606	Low	L1
102607	Low	L5
102608	Low	L2
102609	High	L5
102610	High	L5
102611	Medium	L5
102612	Low	L1
102613	Low	L1
102614	Medium	L3
102615	High	L2
102616	Low	L2
102617	Low	L2
102618	High	L1
102619	Medium	L1
102620	High	L1
102621	Low	L1
102622	Low	L1
102623	Low	L1
102624	High	L1
102625	Low	L1
102626	High	L1
102627	Low	L1
102628	Medium	L2
102629	High	L1
102630	High	L1
102631	Medium	L1
102632	Medium	L1
102633	Low	L1
102634	Medium	L1
102635	Low	L1
102636	Medium	L1
102637	Low	L1
102638	Medium	L1
102639	High	L1
102640	Low	L1
102641	Low	L1
102642	Low	L1
102643	Low	L1
102644	High	L1
102645	Low	L5
102646	High	L1
102647	Medium	L1
102648	Low	L1
102649	Low	L1
102650	Low	L1
102651	Medium	L1
102652	Low	L1
102653	High	L1
102654	Low	L1
102655	Medium	L1
102656	Low	L1
102657	Low	L1
102658	Low	L1
102659	Low	L1
102660	Low	L5
102661	High	L1
102662	High	L1
102663	Medium	L1
102664	Low	L1
102665	Medium	L1
102666	Low	L1
102667	Low	L1
102668	Low	L1
102669	High	L1
102670	Low	L1
102671	Low	L1
102672	Low	L1
102673	Low	L1
102674	High	L1
102675	Medium	L1
102676	High	L1
102677	High	L5
102678	Low	L2
102679	Low	L1
102680	High	L2
102681	Medium	L2
102682	High	L3
102683	Low	L3
102684	Medium	L2
102685	Low	L2
102686	Low	L5
102687	Low	L2
102688	Medium	L1
102689	High	L1
102690	High	L2
102691	High	L1
102692	Low	L2
102693	High	L2
102694	Medium	L2
102695	Low	L2
102696	Low	L1
102697	Medium	L1
102698	Low	L2
102699	Medium	L1
102700	High	L2
102701	Medium	L1
102702	High	L5
102703	High	L2
102704	Medium	L1
102705	High	L2
102706	Low	L1
102707	Low	L1
102708	Low	L5
102709	High	L5
102710	Low	L1
102711	High	L1
102712	Medium	L1
102713	Low	L1
102714	High	L1
102715	Low	L1
102716	High	L1
102717	Low	L1
102718	High	L1
102719	High	L1
102720	Low	L1
102721	Low	L1
102722	Low	L1
102723	Low	L1
102724	Low	L1
102725	Medium	L1
102726	Medium	L1
102727	Low	L1
102728	Low	L1
102729	Low	L1
102730	Medium	L1
102731	Low	L1
102732	High	L1
102733	Medium	L1
102734	Low	L1
102735	High	L1
102736	Low	L1
102737	Medium	L1
102738	Medium	L1
102739	Medium	L1
102740	High	L2
102741	Low	L1
102742	High	L1
102743	High	L5
102744	Low	L2
102745	High	L1
102746	Low	L1
102747	Low	L5
102748	Low	L1
102749	Low	L3
102750	Low	L1
102751	Low	L2
102752	Low	L2
102753	Low	L1
102754	Medium	L3
102755	Low	L1
102756	Low	L1
102757	Low	L1
102758	Medium	L1
102759	Low	L1
102760	Medium	L1
102761	High	L1
102762	High	L2
102763	Low	L2
102764	Low	L1
102765	Medium	L2
102766	Low	L2
102767	Medium	L1
102768	Medium	L2
102769	Medium	L1
102770	Medium	L5
102771	Low	L5
102772	High	L1
102773	Low	L1
102774	Medium	L1
102775	High	L1
102776	Medium	L1
102777	Medium	L1
102778	High	L1
102779	Low	L1
102780	High	L1
102781	Low	L1
102782	Medium	L1
102783	Low	L1
102784	Low	L1
102785	Low	L2
102786	Medium	L2
102787	Low	L2
102788	Medium	L1
102789	Medium	L5
102790	Medium	L5
102791	Medium	L3
102792	Medium	L2
102793	Low	L1
102794	High	L5
102795	Low	L1
102796	Low	L5
102797	Low	L5
102798	Low	L2
102799	High	L2
102800	Low	L5
102801	Medium	L2
102802	Medium	L2
102803	Low	L2
102804	Low	L2
102805	Medium	L5
102806	Low	L5
102807	Medium	L2
102808	Low	L2
102809	Medium	L1
102810	High	L2
102811	Medium	L1
102812	High	L2
102813	Low	L2
102814	Low	L3
102815	Low	L1
102816	Low	L3
102817	High	L2
102818	Medium	L1
102819	Low	L1
102820	Low	L1
102821	Medium	L1
102822	High	L2
102823	Low	L1
102824	High	L5
102825	High	L2
102826	High	L1
102827	Low	L1
102828	Medium	L2
102829	Low	L1
102830	Medium	L1
102831	High	L1
102832	Medium	L2
102833	Low	L1
102834	Medium	L5
102835	Medium	L1
102836	Medium	L5
102837	Low	L2
102838	Low	L5
102839	Low	L1
102840	Medium	L5
102841	Low	L5
102842	Low	L1
102843	Low	L1
102844	High	L1
102845	Low	L2
102846	Low	L1
102847	Low	L1
102848	Low	L1
102849	Medium	L5
102850	Medium	L1
102851	Medium	L1
102852	High	L1
102853	Low	L5
102854	Low	L1
102855	Low	L1
102856	High	L1
102857	Low	L5
102858	Medium	L1
102859	Low	L2
102860	Low	L2
102861	Low	L1
102862	High	L2
102863	Medium	L2
102864	Low	L1
102865	Low	L5
102866	Low	L2
102867	Low	L3
102868	Low	L2
102869	Low	L2
102870	Low	L1
102871	High	L2
102872	Low	L2
102873	Low	L2
102874	High	L2
102875	High	L2
102876	Medium	L1
102877	Low	L1
102878	Medium	L2
102879	Medium	L1
102880	Low	L2
102881	Medium	L1
102883	Low	L1
102884	Low	L1
102885	Medium	L1
102886	Low	L1
102887	Medium	L1
102888	Low	L1
102889	Low	L1
102890	Medium	L1
102891	Low	L1
102892	Low	L2
102893	Medium	L2
102894	Low	L1
102895	Low	L5
102896	High	L1
102897	High	L1
102898	Low	L1
102899	Low	L1
102900	High	L1
102901	Medium	L1
102902	Low	L1
102903	Medium	L2
102904	High	L2
102905	Low	L1
102906	Medium	L1
102907	Low	L1
102908	Low	L2
102909	Low	L1
102910	Medium	L1
102911	Medium	L1
102912	Medium	L2
102913	Low	L2
102914	Low	L5
102915	Low	L1
102916	Low	L1
102917	Medium	L1
102918	Medium	L2
102919	Low	L1
102920	Medium	L1
102921	Low	L1
102922	Medium	L2
102923	Low	L1
102924	Medium	L1
102925	Low	L1
102926	Low	L2
102927	High	L2
102928	Low	L5
102929	Low	L1
102930	Medium	L2
102931	Medium	L1
102932	High	L2
102933	Low	L1
102934	High	L1
102935	Low	L1
102936	Medium	L3
102937	Medium	L2
102940	Low	L2
102941	Low	L5
102942	Low	L2
102943	Low	L2
102944	Medium	L5
102945	Low	L1
102946	Low	L2
102947	Low	L1
102948	High	L2
102949	Low	L3
102950	High	L3
102951	Low	L2
102952	Medium	L2
102953	Medium	L5
102954	Low	L1
102955	Low	L2
102956	Low	L2
102957	Low	L2
102958	Medium	L1
102959	Low	L2
102960	High	L1
