Ref	Priority	Severity
98795	Medium	L2
98796	Low	L1
98797	High	L2
98798	High	L3
98799	Medium	L1
98800	Low	L5
98801	Medium	L1
98802	Medium	L2
98803	Low	L2
98804	Low	L1
98805	Low	L1
98806	Low	L1
98807	High	L5
98810	Medium	L1
98811	Low	L1
98812	Low	L1
98813	Low	L1
98814	High	L1
98815	High	L2
98816	Low	L2
98817	Low	L1
98818	Low	L1
98819	Medium	L1
98820	Low	L5
98821	Medium	L1
98822	Low	L2
98823	High	L1
98824	Medium	L5
98825	Medium	L1
98826	Low	L3
98827	Low	L2
98828	High	L1
98829	Medium	L2
98830	Low	L1
98831	Low	L1
98832	Low	L1
98833	Low	L1
98836	Medium	L5
98837	High	L1
98838	High	L1
98839	Medium	L5
98840	Medium	L5
98841	High	L2
98842	High	L1
98843	High	L2
98844	High	L1
98845	High	L2
98846	High	L1
98847	Low	L2
98848	Low	L5
98849	Low	L1
98850	Low	L5
98851	Low	L1
98852	Medium	L1
98853	Low	L1
98854	Low	L1
98855	Medium	L1
98859	Low	L1
98860	Medium	L1
98861	Low	L1
98865	Medium	L1
98866	Low	L1
98867	Low	L5
98868	Low	L1
98869	Medium	L2
98870	Medium	L2
98871	High	L2
98872	Low	L1
98873	Low	L2
98874	Low	L1
98875	High	L2
98876	High	L3
98877	Medium	L1
98878	Low	L2
98879	High	L1
98880	Medium	L1
98881	Medium	L1
98882	Low	L5
98883	Medium	L2
98884	Low	L1
98885	Medium	L1
98886	Medium	L1
98887	Medium	L1
98888	Medium	L1
98889	Medium	L1
98890	High	L1
98891	High	L1
98892	High	L2
98893	Low	L2
98894	High	L5
98895	Low	L1
98896	Low	L3
98897	Low	L1
98898	Low	L1
98899	Low	L2
98900	Medium	L2
98901	Medium	L5
98902	Medium	L2
98903	High	L2
98904	Low	L5
98905	High	L3
98906	Low	L2
98907	High	L1
98908	Medium	L2
98909	Medium	L3
98910	Low	L1
98911	Low	L5
98912	Medium	L2
98913	Low	L1
98914	Low	L1
98915	High	L5
98916	High	L2
98917	Medium	L2
98918	Medium	L1
98919	High	L2
98920	High	L2
98921	Low	L1
98922	High	L1
98923	Low	L1
98924	High	L1
98925	Low	L5
98926	Medium	L1
98927	High	L2
98928	Low	L5
98929	Medium	L1
98930	Low	L2
98931	Low	L2
98932	Medium	L2
98933	High	L1
98934	Low	L1
98935	Low	L1
98936	Low	L1
98937	Medium	L1
98938	High	L1
98939	Low	L2
98940	Medium	L2
98941	High	L2
98942	Low	L2
98943	Medium	L1
98944	High	L1
98945	High	L1
98946	High	L5
98947	Low	L2
98950	Low	L1
98951	Medium	L2
98952	Low	L1
98953	Low	L2
98954	Medium	L2
98955	Medium	L2
98956	Medium	L2
98957	Low	L2
98958	Medium	L2
98959	High	L2
98960	Medium	L2
98961	High	L2
98962	Medium	L2
98963	High	L2
98964	Low	L1
98965	High	L2
98966	Low	L1
98967	Low	L1
98968	High	L1
98969	High	L1
98970	Medium	L3
98971	High	L1
98972	Medium	L1
98973	High	L2
98974	Medium	L1
98975	Low	L1
98976	Low	L1
98977	Low	L1
98978	Medium	L1
98979	Low	L1
98980	Low	L5
98981	Low	L3
98982	Medium	L5
98983	High	L2
98984	High	L1
98985	Low	L1
98986	Low	L1
98987	Low	L2
98988	Low	L1
98989	High	L2
98990	High	L1
98991	Medium	L5
98992	Low	L5
98993	Low	L1
98994	Low	L1
98995	Low	L1
98996	Medium	L1
98997	Low	L1
98998	Low	L1
98999	Low	L1
99000	High	L1
99001	Low	L1
99002	Low	L1
99003	Low	L1
99004	Low	L3
99005	Low	L2
99006	High	L1
99007	Low	L1
99008	High	L2
99009	Low	L1
99010	Low	L3
99011	Low	L3
99012	Low	L1
99013	Medium	L1
99014	High	L2
99015	Low	L1
99016	Medium	L1
99017	Low	L1
99020	Low	L1
99021	Low	L1
99022	Low	L1
99023	High	L5
99024	Low	L1
99025	Low	L2
99026	High	L1
99027	Low	L5
99028	High	L1
99029	Medium	L5
99030	Medium	L2
99031	Low	L5
99032	High	L5
99033	Medium	L5
99034	Low	L1
99035	Medium	L1
99036	Low	L1
99037	Low	L1
99038	Medium	L2
99039	Low	L5
99040	Medium	L2
99043	Low	L2
99044	Medium	L1
99045	High	L5
99046	Low	L3
99047	Low	L1
99048	Low	L2
99049	Medium	L2
99050	High	L3
99051	Low	L2
99052	Medium	L2
99053	Medium	L5
99054	Medium	L2
99055	Low	L5
99056	Low	L2
99057	Medium	L1
99058	Low	L1
99059	High	L2
99060	Low	L1
99061	Low	L2
99062	High	L2
99063	High	L2
99064	Medium	L3
99065	Low	L2
99066	Low	L5
99067	Low	L2
99068	Low	L1
99069	Medium	L5
99070	Low	L2
99071	Low	L1
99072	High	L2
99073	Low	L1
99074	Low	L5
99075	Medium	L5
99076	High	L2
99077	Low	L1
99081	Low	L5
99084	Low	L1
99085	Low	L2
99086	High	L2
99087	Medium	L1
99088	High	L2
99089	High	L2
99090	Medium	L5
99091	Low	L1
99092	Low	L1
99093	Low	L2
99094	High	L2
99095	Low	L1
99096	Medium	L1
99097	Medium	L1
99098	Low	L1
99099	Low	L1
99100	High	L1
99101	Medium	L1
99102	Low	L2
99103	Low	L2
99104	Low	L1
99105	High	L1
99106	Medium	L2
99107	Medium	L5
99108	Medium	L2
99109	Low	L1
99110	Low	L1
99111	Low	L1
99112	Low	L1
99113	Low	L1
99114	Low	L1
99115	Medium	L2
99116	Medium	L1
99117	Low	L1
99118	High	L2
99119	Low	L1
99120	Low	L5
99121	High	L1
99122	High	L1
99123	Low	L1
99124	Low	L1
99125	High	L1
99126	High	L1
99127	Medium	L1
99128	Low	L1
99129	Low	L1
99130	Medium	L1
99131	Medium	L1
